file_role,file_name,variable,present,dtype,sample_non_null
person,ghs-2025-person-v1.csv,age,True,object,500
person,ghs-2025-person-v1.csv,edu_attend,True,object,500
person,ghs-2025-person-v1.csv,edu_same,True,object,500
person,ghs-2025-person-v1.csv,hhc_fath_parthh,True,object,500
person,ghs-2025-person-v1.csv,hhc_moth_parthh,True,object,500
person,ghs-2025-person-v1.csv,person_wgt,True,float64,500
person,ghs-2025-person-v1.csv,personnr,True,int64,500
person,ghs-2025-person-v1.csv,prov,True,object,500
person,ghs-2025-person-v1.csv,sex,True,object,500
person,ghs-2025-person-v1.csv,soc_grant,True,object,500
person,ghs-2025-person-v1.csv,soc_grant_csg,True,object,500
person,ghs-2025-person-v1.csv,soc_grant_csg_topup,True,object,500
person,ghs-2025-person-v1.csv,soc_grant_fos,True,object,500
person,ghs-2025-person-v1.csv,uqnr,True,int64,500
household,ghs-2025-household-v1.csv,fsd_healthy,True,object,500
household,ghs-2025-household-v1.csv,fsd_hung_child,True,object,500
household,ghs-2025-household-v1.csv,fsd_worried,True,object,500
household,ghs-2025-household-v1.csv,hholdsz,True,object,500
household,ghs-2025-household-v1.csv,house_wgt,True,float64,500
household,ghs-2025-household-v1.csv,totmhinc,True,object,500
household,ghs-2025-household-v1.csv,uqnr,True,int64,500
