outcome,living_arrangement,weighted_percent_yes,sample_n
edu_attend,Both parents,97.51893105044796,4063
edu_attend,Father only,97.38250122671994,747
edu_attend,Mother only,96.98922086002669,7629
edu_attend,Neither parent,95.4712532180608,4604
edu_same,Both parents,4.293371071740771,3757
edu_same,Father only,5.063400533203434,698
edu_same,Mother only,5.257171889994071,7135
edu_same,Neither parent,6.605628972836743,4269
soc_grant,Both parents,46.24796060379808,5628
soc_grant,Father only,64.54107657467335,871
soc_grant,Mother only,79.30164123744615,10572
soc_grant,Neither parent,80.8304072453439,5474
soc_grant_csg,Both parents,44.34239702265622,5635
soc_grant_csg,Father only,59.74681723764337,887
soc_grant_csg,Mother only,76.66328651061917,10586
soc_grant_csg,Neither parent,75.14549775726549,5500
soc_grant_csg_topup,Both parents,1.557890328103368,5635
soc_grant_csg_topup,Father only,3.550858414671864,887
soc_grant_csg_topup,Mother only,2.1932375681456167,10586
soc_grant_csg_topup,Neither parent,2.797570814026866,5500
soc_grant_fos,Both parents,0.009642967949453603,5635
soc_grant_fos,Father only,0.10467499236461367,887
soc_grant_fos,Mother only,0.04081179855389864,10586
soc_grant_fos,Neither parent,2.2328292490450643,5500
child_food_insufficient,Both parents,12.05381740831276,5502
child_food_insufficient,Father only,22.18789339435416,868
child_food_insufficient,Mother only,23.304658902481876,10406
child_food_insufficient,Neither parent,23.7954742860271,5385
